tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1
28720,11,22.6770384822202,0.01,23.972022629095,24.6897162663214,25.4859872747691,25.9393447310866,25.0420177588081,25.0420177588081,25.0420177588081,0.01,22.363367080688477
28730,11,20.9416678655184,0.01,22.6770384822202,23.972022629095,24.6897162663214,25.4859872747691,0.01,25.0420177588081,25.0420177588081,25.0420177588081,21.093069076538086
28740,11,19.1801725679395,0.01,20.9416678655184,22.6770384822202,23.972022629095,24.6897162663214,0.01,0.01,25.0420177588081,25.0420177588081,19.067340850830078
28750,11,17.2728278702081,6.26050443970203,19.1801725679395,20.9416678655184,22.6770384822202,23.972022629095,0.01,0.01,0.01,25.0420177588081,17.19009780883789
28760,11,14.8853769385523,6.26050443970203,17.2728278702081,19.1801725679395,20.9416678655184,22.6770384822202,6.26050443970203,0.01,0.01,0.01,15.044211387634277
28770,11,12.1572905099149,6.26050443970203,14.8853769385523,17.2728278702081,19.1801725679395,20.9416678655184,6.26050443970203,6.26050443970203,0.01,0.01,12.218173027038574
28780,11,9.0888484682848,0.01,12.1572905099149,14.8853769385523,17.2728278702081,19.1801725679395,6.26050443970203,6.26050443970203,6.26050443970203,0.01,8.85608959197998
28790,11,4.93810958386992,0.01,9.0888484682848,12.1572905099149,14.8853769385523,17.2728278702081,0.01,6.26050443970203,6.26050443970203,6.26050443970203,4.962821960449219
28800,43,0.148712415211665,0.01,4.93810958386992,9.0888484682848,12.1572905099149,14.8853769385523,0.01,0.01,6.26050443970203,6.26050443970203,0.0
28810,43,19.1520190308901,99.99,0.148712415211665,4.93810958386992,9.0888484682848,12.1572905099149,0.01,0.01,0.01,6.26050443970203,19.0371150970459
28820,43,25.4226721820502,99.99,19.1520190308901,0.148712415211665,4.93810958386992,9.0888484682848,99.99,0.01,0.01,0.01,25.435440063476562
28830,43,29.8222810702606,99.99,25.4226721820502,19.1520190308901,0.148712415211665,4.93810958386992,99.99,99.99,0.01,0.01,29.734481811523438
28840,43,30.7410919592576,49.2174369450372,29.8222810702606,25.4226721820502,19.1520190308901,0.148712415211665,99.99,99.99,99.99,0.01,30.6367130279541
